record_id,entity_id,entity_name,entity_first_name,committee_name,entity_type,office_name,office_id,office_type_id,party_name,party_id,cash_balance,income,expense,ie_support,ie_opposition,bme_for,bme_against,committee_status,registration_date,termination_date,committee_address,mailing_address,phone,email,chairman,treasurer,candidate,designee,is_primary_record,record_source,record_date,created_at
5739,200893595,"Yarbrough, Steve",,RE-ELECT STEVE YARBROUGH<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 21,3221,,Republican,30,0.00,74488.50,74488.50,711.46,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5742,201400273,Yarbrough,,Yarbrough/Senate,Candidate (not participating in Clean Elections),State Senator - District No. 17,3117,,Republican,30,0.00,2500.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5735,100630,"Yantorno, Duane Michael",,Duane for AZ Mine Inspector<br>(Clean Elections),Candidate (participating in Clean Elections),State Mine Inspector,2050,,Republican,30,0.00,4915.61,4601.41,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5734,101645,"Wynne, Jennifer",,Jen Wynne for State Representative - District 22<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 22,3222,,,,1005.78,31920.00,30914.22,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5733,201000287,"Wright, Nancy Young",,Nancy Young Wright 2010,Candidate (not participating in Clean Elections),State Representative - District 26,3226,,Democratic,10,0.00,70651.62,103867.07,14178.65,46047.76,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
1607,200810030,"Wright, Nancy Young",,Nancy Young Wright for State Representative<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 26,3226,,Democratic,10,0.00,73372.12,73497.12,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:18.209767
5732,201000570,"Wright, Brian",,Govenor Wright,Candidate (not participating in Clean Elections),Governor,2000,,Libertarian,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5731,200693545,"Wright, Brian",,BRIAN WRIGHT,$500 Threshold (Candidate),Governor,2000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5730,201600422,"Worsley, Robert",,Bob Worsley for State Senate,Candidate (not participating in Clean Elections),State Senator - District No. 25,3125,,Republican,30,0.00,139148.50,53442.35,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5729,201400405,"Worsley, Robert",,Bob Worsley for State Senate,Candidate (not participating in Clean Elections),State Senator - District No. 25,3125,,Republican,30,0.00,20653.14,14936.74,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
