person_id,display_name,name_key,all_session_ids,all_entity_ids,all_legislator_ids,entity_id,primary_committee_name,primary_candidate_name,total_income_all_records,total_expense_all_records,earliest_activity,latest_activity,legislator_id,legislator_name,party,body,district,search_vector
82,Jamescita Peshlakai,jamescita peshlakai,"[""117"",""119"",""120"",""121"",""122"",""123"",""124""]",,"[""1780"",""1923"",""1961""]",,,,,,,,1780,Jamescita Peshlakai,D,S,,"'jamescita':1,3 'peshlakai':2,4"
95,Brenda Barton,brenda barton,"[""114"",""115"",""116"",""117"",""119"",""120"",""123"",""124"",""125""]",,"[""1669"",""1714"",""2059""]",,,,,,,,1669,Brenda Barton,R,H,,"'barton':2,4 'brenda':1,3"
103,Tim Dunn,tim dunn,"[""123"",""124"",""125""]",,"[""2031""]",,,,,,,,2031,Tim Dunn,R,H,,"'dunn':2,4 'tim':1,3"
120,Mark W. Finchem,mark finchem,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125"",""129""]",,"[""1665"",""1727"",""1865"",""2006"",""2372""]",,,,,,,,1665,Mark Finchem,R,H,,"'finchem':3,5 'mark':1,4 'w':2"
126,"Daniel Hernandez, Jr.",daniel jr,"[""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1749"",""1875"",""2016""]",,,,,,,,1749,Daniel Hernandez,D,H,,"'daniel':1,4 'hernandez':2,5 'jr':3"
127,Joel John,joel john,"[""123"",""124"",""125""]",,"[""2064""]",,,,,,,,2064,Joel John,R,H,,"'joel':1,3 'john':2,4"
174,Athena Salman,athena salman,"[""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125"",""127"",""128""]",,"[""1768"",""1885"",""2026"",""2193""]",,,,,,,,1768,Athena Salman,D,H,,"'athena':1,3 'salman':2,4"
187,Michael Carbone,michael carbone,"[""127"",""128"",""129""]",,"[""2153"",""2298""]",,,,,,,,2153,Michael Carbone,R,H,,"'carbon':2,4 'michael':1,3"
190,Andy Biggs,andy biggs,"[""114"",""115"",""116""]",,"[""1530""]",,,,,,,,1530,Andy Biggs,R,S,,"'andi':1,3 'bigg':2,4"
199,Mark Cardenas,mark cardenas,"[""114"",""115"",""116"",""117"",""119"",""120""]",,"[""1643"",""1719""]",,,,,,,,1643,Mark Cardenas,D,H,,"'cardena':2,4 'mark':1,3"
202,Jonathan Larkin,jonathan larkin,"[""114"",""115"",""116""]",,"[""1668""]",,,,,,,,1668,Jonathan Larkin,D,H,,"'jonathan':1,3 'larkin':2,4"
234,Eric Descheenie,eric descheenie,"[""117"",""119"",""120""]",,"[""1753""]",,,,,,,,1753,Eric Descheenie,D,H,,"'descheeni':2,4 'eric':1,3"
237,Aaron Lieberman,aaron lieberman,"[""121"",""122"",""123"",""124""]",,"[""1910"",""2050""]",,,,,,,,1910,Aaron Lieberman,D,H,,"'aaron':1,3 'lieberman':2,4"
250,Olivia Cajero Bedford,olivia bedford,"[""114"",""115"",""116"",""117"",""119"",""120""]",,"[""1521"",""1776""]",,,,,,,,1521,Olivia Cajero Bedford,D,S,,"'bedford':3,6 'cajero':2,5 'olivia':1,4"
259,Jacqueline Parker,jacqueline parker,"[""123"",""124"",""125"",""127"",""128""]",,"[""2069"",""2186""]",,,,,,,,2069,Jacqueline Parker,R,H,,"'jacquelin':1,3 'parker':2,4"
262,Frank P Carroll,frank carroll,"[""121"",""122"",""123"",""124"",""125"",""127"",""128"",""129""]",,"[""1906"",""2046"",""2120"",""2375""]",,,,,,,,1906,Frank Carroll,R,H,,"'carrol':3,5 'frank':1,4 'p':2"
268,David C. Farnsworth,david farnsworth,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""127"",""128"",""129""]",,"[""1534"",""1789"",""1932"",""2123"",""2378""]",,,,,,,,1534,David Farnsworth,R,S,,"'c':2 'david':1,4 'farnsworth':3,5"
280,Sylvia Allen,sylvia allen,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122""]",,"[""1524"",""1779"",""1922""]",,,,,,,,1524,Sylvia Allen,R,S,,"'allen':2,4 'sylvia':1,3"
291,Joanne Osborne,joanne osborne,"[""121"",""122"",""123"",""124"",""125""]",,"[""1900"",""2040""]",,,,,,,,1900,Joanne Osborne,R,H,,"'joann':1,3 'osborn':2,4"
296,Geraldine Peten,geraldine peten,"[""119"",""120"",""121"",""122""]",,"[""1818"",""1889""]",,,,,,,,1818,Geraldine Peten,D,H,,"'geraldin':1,3 'peten':2,4"
304,Patricia Contreras,patricia contreras,"[""127"",""128""]",,"[""2157""]",,,,,,,,2157,Patricia Contreras,D,H,,"'contrera':2,4 'patricia':1,3"
314,Michele Peña,michele pena,"[""127"",""128"",""129""]",,"[""2189"",""2331""]",,,,,,,,2189,Michele Peña,R,H,,"'michel':1,3 'peña':2,4"
326,Susan Donahue,susan donahue,"[""115""]",,"[""1678""]",,,,,,,,1678,Susan Donahue,R,S,,"'donahu':2,4 'susan':1,3"
351,Denise “Mitzi” Epstein,denise epstein,"[""127"",""128"",""129""]",,"[""2122"",""2377""]",,,,,,,,2122,Denise “Mitzi” Epstein,D,S,,"'denis':1,4 'epstein':3,6 'mitzi':2,5"
372,David Stringer,david stringer,"[""117"",""119"",""120"",""121""]",,"[""1748"",""1891""]",,,,,,,,1748,David Stringer,R,H,,"'david':1,3 'stringer':2,4"
386,Macario Saldate,macario saldate,"[""114"",""115"",""116"",""117"",""119"",""120""]",,"[""1657"",""1742""]",,,,,,,,1657,Macario Saldate,D,H,,"'macario':1,3 'saldat':2,4"
406,Beverly Pingerelli,beverly pingerelli,"[""123"",""124"",""125"",""127"",""128"",""129""]",,"[""2071"",""2191"",""2333""]",,,,,,,,2071,Beverly Pingerelli,R,H,,"'bever':1,3 'pingerelli':2,4"
413,Victoria Steele,victoria steele,"[""114"",""115"",""116"",""121"",""122"",""123"",""124"",""125""]",,"[""1632"",""1925"",""1963""]",,,,,,,,1632,Victoria Steele,D,H,,"'steel':2,4 'victoria':1,3"
421,Doug Coleman,doug coleman,"[""114"",""115"",""116""]",,"[""1640""]",,,,,,,,1640,Doug Coleman,R,H,,"'coleman':2,4 'doug':1,3"
432,Richard C. Andrade,richard andrade,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1661"",""1713"",""1858"",""1998""]",,,,,,,,1661,Richard Andrade,D,H,,"'andrad':3,5 'c':2 'richard':1,4"
441,Raquel Terán,raquel teran,"[""121"",""122"",""123"",""124"",""125"",""127""]",,"[""1911"",""2051"",""2080"",""2144""]",,,,,,,,1911,Raquel Terán,D,H,,"'raquel':1,3 'terán':2,4"
487,David Stevens,david stevens,"[""114"",""115"",""116""]",,"[""1641""]",,,,,,,,1641,David Stevens,R,H,,"'david':1,3 'steven':2,4"
532,Javan D. Mesnard,javan mesnard,"[""117"",""119"",""120""]",,"[""1736""]",,,,,,,,1736,Javan D. Mesnard,R,H,,"'d':2,5 'javan':1,4 'mesnard':3,6"
534,J.D. Mesnard,jd mesnard,"[""114"",""115"",""116"",""121"",""122"",""123"",""124"",""125"",""127"",""128"",""129""]",,"[""1662"",""1933"",""1971"",""2137"",""2391""]",,,,,,,,1662,J.D. Mesnard,R,H,,"'j.d':1,3 'mesnard':2,4"
546,Mae Peshlakai,mae peshlakai,"[""127"",""128"",""129""]",,"[""2190"",""2332""]",,,,,,,,2190,Mae Peshlakai,D,H,,"'mae':1,3 'peshlakai':2,4"
551,Analise Ortiz,analise ortiz,"[""127"",""128"",""129""]",,"[""2178"",""2384""]",,,,,,,,2178,Analise Ortiz,D,H,,"'analis':1,3 'ortiz':2,4"
558,Kiana Sears,kiana sears,"[""129""]",,"[""2415""]",,,,,,,,2415,Kiana Sears,D,S,,"'kiana':1,3 'sear':2,4"
580,Steve Yarbrough,steve yarbrough,"[""114"",""115"",""116"",""117"",""119"",""120""]",,"[""1535"",""1790""]",,,,,,,,1535,Steve Yarbrough,R,S,,"'steve':1,3 'yarbrough':2,4"
582,Brian Garcia,brian garcia,"[""129""]",,"[""2358""]",,,,,,,,2358,Brian Garcia,D,H,,"'brian':1,3 'garcia':2,4"
599,Chris Lopez,chris lopez,"[""129""]",,"[""2364""]",,,,,,,,2364,Chris Lopez,R,H,,"'chris':1,3 'lopez':2,4"
609,Kelli Butler,kelli butler,"[""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1769"",""1886"",""2027""]",,,,,,,,1769,Kelli Butler,D,H,,"'butler':2,4 'kelli':1,3"
612,Hildy Angius,hildy angius,"[""129""]",,"[""2373""]",,,,,,,,2373,Hildy Angius,R,S,,"'angius':2,4 'hildi':1,3"
626,Warren Petersen,warren petersen,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125"",""127"",""128"",""129""]",,"[""1654"",""1785"",""1914"",""1966"",""2139"",""2393""]",,,,,,,,1654,Warren Petersen,R,H,,"'petersen':2,4 'warren':1,3"
